,0,1,2,3,4
sex,-0.12171891577746613,-0.0705544744541255,0.025089999983306254,0.0878846685800247,0.12229245983844171
temp_vsorres,-0.18952172721320723,0.13990412523311274,0.06396606887260047,-0.08206711336256065,-0.11462199189975131
hr_vsorres,-0.3561682334530979,0.11309670010305937,0.0651321052701606,0.1031452825965963,0.026381942914067962
rr_vsorres,-0.41044812542475295,0.12922318663805576,0.023507043524211253,0.2952184016744851,0.010709599782412779
sysbp_vsorres,0.10607996009391497,0.030536154764580378,-0.012881270218483464,-0.08440889265205014,-0.10706894270871804
admission_diabp_vsorres,-0.05780246062895923,0.06440646319494933,0.057125197430414505,-0.15028839371218022,-0.14902595488947906
chrincard,0.20449969860415998,-0.004798336147195529,-0.1658791646853734,0.2988161240676747,0.18878736305542088
chronicpul_mhyn,0.05715938388813329,0.016671279670507615,-0.0605505508418789,0.1094853645113383,0.11291147803911672
asthma_mhyn,-0.08009312720283837,0.2103288085269565,0.012129525743492969,-0.10082159415177898,0.004013111448420266
renal_mhyn,0.4287108298633898,-0.005265296149301287,-0.46516900213644125,0.9882803147804512,0.5917745097806746
modliv,-0.14233669105207866,-0.14233669105207458,-0.01420243379651711,-0.14233669105207714,3.164456661524673
malignantneo_mhyn,0.6932470103077496,-0.07299580392332411,-0.337841617873232,0.3404121686936462,0.3693197409696242
obesity_mhyn,-0.3685670171779416,2.7132107687140947,-0.3685670171779308,-0.36856701717793694,0.5316140428024657
dementia_mhyn,0.9675073217796527,-0.22805648578082136,-0.45135897949056153,0.5590266023542453,0.0918223980605307
infect_cmtrt,-0.015330077621077734,0.038298295617704724,-0.03613531683750873,0.09958112355244317,0.08002319164247464
daily_lymp_lborres,-0.1328265339986098,-0.03461742828368795,-0.03418626502551733,-0.15314967915737096,3.0920194352274546
daily_neutro_lborres,-0.29038830479262495,-0.05594563211954588,-0.058140084855288716,0.5213562648824269,0.31272422063418953
daily_plt_lborres,-0.09921047799260119,-0.016145811519855318,0.020580833836443158,0.060166590018070565,-0.030258453278397126
daily_bun_lborres,-0.15718217932408263,-0.14204543679434958,-0.3130873917292156,1.2447370153173063,0.5959976359887672
daily_creat_lborres,-0.21798956828788876,-0.09339229731521148,-0.2822345840308443,1.1130677080973512,1.0328551325520006
daily_crp_lborres,-0.3798844389985888,0.04883347320396675,-0.02430530379882878,0.4709459493717286,0.061611631178675956
onset2admission,-0.2737938190898264,0.09418542108221492,0.07953908633900512,0.004835848429364593,-0.1850667352362629
age,0.5872953720091678,-0.3772085895230375,-0.2577554046952125,0.4696330126741072,-0.03663191115469742
immunosuppressed_yn,0.17069420937875204,-0.01533245752042812,-0.10642471536169416,0.1377609237539033,0.24431927408947596
sfr,0.3920532112561065,-0.20656716757829752,0.013593302029725512,-0.34622876498295446,0.011626446869081814
diabetes,-0.047177371532226,0.32243443325606486,-0.12137903765707128,0.18782429491958225,0.28714882890242127
