,0,1,2,3,4,5,6,7,8
admission_diabp_vsorres,-0.038662920637484915,-0.09155951870192626,-0.08048009383533546,-0.1116002982739531,0.12889286463428146,-0.06746496380182929,-0.2443729131576661,-0.1145488794594946,-0.24286634972985444
age,0.7314730102216924,0.2650708696633456,0.34436198395900025,0.34316837383534554,-0.5999708442305067,0.19862402634644538,0.12971169844554736,-0.3245313527234574,0.3845180995542972
asthma_mhyn,-0.11359459212457852,0.16854217873229704,-0.08509263466959932,-0.03976428209193454,0.03909685696434758,-0.04262525967891884,-0.03537114491997621,0.011358035046027311,-0.09751646728051305
chrincard,0.21106674742539835,0.3296994802544321,0.12186980431542846,0.4004772680124355,-0.6953518798849901,1.060056889176815,0.43627109738091663,-0.05655564038649037,0.2712885556846743
chronicpul_mhyn,0.012103200768483422,2.1500325998301717,0.1437610190099693,-0.4651092267526929,-0.46510922675237626,-0.4651092267526096,0.29843583210364993,0.0954341005465885,0.2780678070751802
daily_bun_lborres,0.3466715623262734,0.03387293047447504,-0.024197991910531427,0.7104858479256113,-0.4493639199567043,0.22580233251679085,1.0128430893064717,-0.2826686221997279,1.8873631325242441
daily_creat_lborres,0.024755731687830743,-0.03789894479342122,-0.10893469289661845,1.0669423270316218,-0.3336425022870514,0.06142388629023756,1.2593918594345017,-0.2700100880851719,2.6231316132300413
daily_crp_lborres,-0.08442446180648694,-0.024052137204895036,-0.011475198864341367,0.03875093789820826,0.008712028366020823,0.055014605391601495,0.009120293964369778,-0.2630108897629929,0.4428606308234925
daily_lymp_lborres,-0.1216630351180171,-0.09779396499667377,-0.16289981208807383,-0.15411328080439005,-0.02870653975372006,0.16214524419705692,0.12433157388901632,-0.04141922059880663,3.348177582232313
daily_neutro_lborres,0.052260700263531724,0.06549647298425854,0.003061843852938204,0.007766916168321295,-0.1148942823029998,0.13420291503518184,0.08016205151782364,-0.06349213149658321,0.6889183238036433
daily_plt_lborres,-0.022434425166779185,0.0512611119858334,-0.011822017326250713,-0.07114257840562112,0.02289193031476425,0.004146220963321432,-0.34514876665470057,-0.33357702448372284,0.12654551102770714
dementia_mhyn,2.2044421990369703,-0.45362949431679556,-0.013069089479560312,-0.4536294943168215,-0.45362949431687866,-0.4536294943167468,-0.020318537005997086,-0.1676484697607475,0.48227778645318536
diabetes,-0.015487563466942892,0.05438196620764367,-0.021838915963533212,0.39768632964417616,-0.1438695895665154,0.087648655941455,0.5374280012448709,0.08297679445185147,0.20650717427743198
hr_vsorres,-0.17936052823883256,0.018059248950206407,-0.06633853184810193,-0.19821539365399696,0.15084396572590486,-0.07845642762980203,-0.031565377740946324,0.08640342663277896,-0.05301075005251349
immunosuppressed_yn,-0.01259859748866099,0.19260111787349968,0.4590897889194852,0.11689083967437193,-0.1880292836893088,-0.0696601728969008,0.34021244664400124,0.14486427134826027,0.25606075354597096
infect_cmtrt,0.021054031679621776,0.18331235276612007,0.05576954068455899,0.0004909292469069639,-0.0715258559527507,-0.035263231088206816,-0.033279712696991225,0.027564663729224708,0.10801295829008392
malignantneo_mhyn,-0.33777256604355066,-0.3377725660435756,2.960571995863909,-0.337772566043631,-0.33777256604356987,-0.33777256604356,0.29621580473674397,0.10512441015920033,1.209708126540557
modliv,-0.14347775464086626,-0.1434777546408816,-0.1434777546409064,-0.14347775464091045,-0.1434777546409459,-0.143477754640872,6.969721560689477,6.9697215606893925,-0.14347775464090112
obesity_mhyn,-0.19421509549335664,0.05614686392103418,-0.07980023019456246,0.08243019763878105,0.050088866203815245,0.006973290334485024,0.21294982885835603,0.07198386780868354,0.0010456454954281007
onset2admission,-0.22273754664475404,0.035570813617778224,-0.12225652808904182,-0.06523953698089704,0.1367511054748015,-0.020364196846959597,-0.175705045653497,-0.14893693855964207,-0.0611380806121722
renal_mhyn,0.1511242739536415,0.09497310337357882,0.08908470697973644,2.1519688700432664,-0.4646907368969613,-0.46469073689697243,1.8527401558678982,-0.46469073689701734,0.9079448209887018
rr_vsorres,-0.0711443763155938,0.09490354880311273,-0.12966766346095784,-0.10602519675467888,0.05605288498511124,0.008000082323362266,-0.10781615064087782,-0.1651906761828426,0.04742188932384425
sex,-0.15409472952479789,0.013477088203242905,0.0888746439456784,-0.010284929839890562,-0.01690993389724249,0.11235593359731003,0.08060962186938171,0.15192258329393854,0.16076261829090388
sf94,0.06353469874326403,-0.1094288080391504,0.0846748597640321,0.04523013427034026,-0.01198023020709067,-0.029178867380251074,0.020666083854392066,0.17041759371542306,-0.14492188470275938
sysbp_vsorres,0.06413698428381356,-0.005237449530723398,-0.03581710691969693,0.0804476411613766,-0.002113198430942692,-0.04199896304070335,-0.17515953885667782,-0.1896455139371023,-0.15108950226365672
temp_vsorres,-0.13817693549339644,-0.05185160209541712,-0.08983508979885092,-0.11446895976207586,0.17039258859344872,-0.1017444942441518,-0.20677913512585505,-0.10553473763464925,-0.2784807187779659
