,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
sex,-0.15310523543535245,0.0800158253267968,-0.09089397214766667,0.07333485324498845,0.047067773891770345,0.17708082245342985,0.07847787967735247,0.1527480748782999,0.24615453148968855,0.13977089774137658,-0.1806471693168405,-0.0023903391896810734,0.005987542870355513,0.09396730680315274,-0.1916622290938719,0.042531843397332285
temp_vsorres,-0.1524196441276108,-0.12402154788685628,-0.035425780039404865,-0.17854491029246963,0.14778291343123803,-0.1747075454870008,-0.20360648791918334,-0.10649837586826869,-0.3185135286586101,-0.06973653676458218,0.08712530405508345,-0.0685749926962731,-0.04294270419778459,0.05676282005421557,0.06776035808302687,0.2128308212606643
hr_vsorres,-0.19770240259966468,-0.08367065212896546,-0.052911550653050685,-0.16297439599160374,0.15342020871728243,0.03080166371727455,-0.029493260680971974,0.08584028808240504,-0.09631846091516456,-0.12635777858699426,0.07937709816391292,0.028563658935682322,0.17975041765379715,0.04227841159849053,0.0643932160381078,0.16800915931207633
rr_vsorres,-0.09446585868887823,0.05466859347757897,-0.13844348602307138,-0.3684868596474112,0.05542487470939515,0.13192015207882468,-0.10631807774563266,-0.16578006130508605,0.06368085652668251,-0.03246599495518509,0.12576328727826694,0.09481429708775428,0.11011517947507145,0.15665380733801787,0.0277450325723244,0.1974007318962744
sysbp_vsorres,0.07074719976502722,-0.01359031854683436,0.019477046770672458,-0.0033548643578141185,-0.05323846662490311,-0.1486827936609909,-0.1782635312541469,-0.18859469134233636,-0.1974786936309652,0.05581685360395286,0.014787410498322604,-0.025186710027086837,-0.10278279300089457,-0.0456706677071289,0.029601438070825423,0.021775131529545796
admission_diabp_vsorres,-0.034865046040095375,-0.17944458617514392,-0.02050501859339706,-0.06523455987168439,0.12214458621547185,-0.1894173208499644,-0.24713548114593692,-0.1134313183629555,-0.3172609866637518,-0.03836951234152895,0.003646014135157799,-0.052563632218529915,-0.11907282184093224,-0.0689707805577251,0.04494431321720547,0.1076130364347536
chrincard,0.15167125743035667,0.5646539736188273,0.01383740000766335,0.11281915800993388,-0.695351879885064,0.2804359242637227,0.43008715491997246,-0.05505486370564998,0.4319218826438582,0.5294631495485865,0.12419658573179439,0.1961585562009875,0.03205900294853827,0.09342498744578978,-0.04543074833846516,-0.1487823572591451
chronicpul_mhyn,-0.4651092267526479,2.1500325998301677,-0.4651092267526488,0.06500184116434225,-0.4651092267526393,0.06528549888426884,0.2948156051226935,0.09642193300649503,0.1849938989479489,-0.46510922675265776,0.12679421735545968,2.1500325998301673,0.1220446705231261,0.2343961205922978,0.14476114658044903,-0.11699163322534784
asthma_mhyn,-0.3971185339237958,-0.3971185339237962,-0.39711853392379626,-0.1015037092862334,-0.39711853392378843,0.1262111691484787,-0.03491819483677992,0.011261690922317895,0.6562871198097503,-0.39711853392380453,0.9029725573672596,-0.39711853392379637,0.1196117379966302,-0.09468772175612707,2.5181398362834573,-0.3971185339237969
renal_mhyn,0.13449830761596301,1.0328771011124194,0.1431551456008102,0.05997259132542917,-0.46469073689700846,0.8714194327397285,1.844146351707122,-0.4646907368970188,1.3065449016502657,0.28908560221816465,0.5271104876428846,-0.4646907368970176,0.00849080743829263,-0.010812386426413472,-0.10035895398846555,-0.4646907368970181
modliv,-0.1434777546408992,-0.14347775464089943,-0.14347775464089957,-0.14347775464089982,-0.14347775464089646,-0.1434777546409026,6.969721560689514,6.969721560689528,-0.14347775464090198,-0.1434777546409024,-0.1434777546409,-0.14347775464089943,-0.1434777546409017,-0.14347775464089987,-0.14347775464089915,-0.14347775464089949
