,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
sex,0.0497012402536284,-0.06863409070708112,0.11534312448209764,0.053867911349814265,-0.007524139759841123,0.148178777468138,-0.07289732652756567,0.06027957355197741,-0.16058850522352186,0.01468361477933852,-0.13186608856480325,-0.16998859777059694,0.0752666310768885,0.11246139341440402,0.23370812017984727
temp_vsorres,-0.08118984755613788,-0.07122146215092445,-0.05704187888761875,0.06178688696893415,-0.027168709591518913,-0.1440094037887635,0.21239315619815755,0.06621204018271322,-0.13615293537032322,-0.1339774280118648,-0.12761882678978886,0.11552549739132886,-0.197873987003344,-0.11349665142745283,-0.2843353583239383
hr_vsorres,-0.0002112363109480293,-0.10993077877451021,-0.024487509977159146,0.032511742275069574,-0.06745504923086713,0.07807476344332119,0.19728255337827627,0.05621966797526554,-0.19656560223328595,-0.23026472284183594,-0.15654615375519765,0.12937461908126568,0.22601887011285116,-0.0751391030390971,-0.09347666264436286
rr_vsorres,0.10123984413596154,-0.022409277917031407,0.16021666629429035,0.0503154130490021,-0.017678649641160008,-0.18778758035646967,0.18949103903653863,-0.0012950364696091405,-0.09323385388979562,-0.14976808127683808,-0.09227393706961742,0.057330999225255884,0.31543646650133833,-0.13717504923420706,-0.039481804219503536
sysbp_vsorres,-0.01907625797955641,-0.034739095410462204,-0.00431732699909454,-0.05071152402433688,-0.007575767407839903,-0.1901108210225711,0.041692181074960095,-0.005714206458248439,0.06804014647224527,0.11159954771367046,0.10403811024089722,-0.0023836409035946048,-0.20492586473999522,-0.05405353264908489,-0.3263675044153905
admission_diabp_vsorres,-0.10522319833815894,-0.08647051052853855,-0.11681928480987251,-0.004458765746313791,-0.12057572047414873,-0.09134890399190618,0.1287710736539643,0.08039725248976709,-0.049125184507112056,-0.09837998155350904,-0.12323165640291806,0.07553723074169844,-0.12956516937663162,-0.11527488523704989,-0.3509631198891039
chrincard,0.323544203423499,0.3873420678632684,0.11201109660878687,-0.1022010577435327,0.3732654037973821,-0.054878157308047855,-0.17848111389293256,-0.23321081986748723,0.1921518741365442,0.387652016959583,0.549230449976873,-0.17171728811015105,0.11409365029442045,0.129503712008137,0.42673121948436293
chronicpul_mhyn,2.148192235770158,0.16191107690747103,0.03310378333329981,-0.46550768750985044,0.18982865291839685,0.08782627322669811,-0.05933402152861873,-0.4655076875098524,0.005681801416000259,-0.46550768750985305,0.46468299569895083,0.058392944622776874,0.010287813815186314,0.12846923813856131,0.18803988209099973
asthma_mhyn,-0.39684364971784,0.018588121581172647,-0.02515539610239861,-0.39684364971784164,0.13390524154166408,-0.0032394713586879325,0.2624959757603503,-0.39684364971784397,-0.12148875972922371,-0.39684364971784425,1.985203586033401,2.519884092163224,0.1903333901736428,-0.10528748365682669,-0.06653165121854349
renal_mhyn,0.0957933468589358,0.35372416013968705,0.13819442634897944,-0.03884338449420715,1.3169215840768673,-0.46516900213644125,-0.46516900213643986,-0.4651690021364414,0.12459888865971017,2.149756315247082,2.149756315247085,-0.46516900213643797,0.42831430677446186,0.13219898440468547,1.638930948025452
modliv,-0.1423366910520733,1.3988899465625702,0.21393316960836647,-0.14233669105207425,-0.1423366910520745,7.02559538660443,-0.14233669105207447,-0.14233669105207458,-0.14233669105207541,-0.14233669105207497,1.314541783923142,-0.14233669105207383,-0.14233669105208296,-0.14233669105207164,3.8212738701474085
malignantneo_mhyn,-0.33784161787322925,0.055349306252766635,1.8693837588064126,-0.33784161787323075,0.6660210199277145,0.1040206965274967,-0.3378416178732315,-0.33784161787323286,-0.3378416178732338,-0.3378416178732328,-0.3378416178732337,-0.33784161787323025,-0.33784161787325157,2.9599668812123747,2.0230072970993005
obesity_mhyn,-0.3685670171779272,2.7132107687141263,0.6352782987654128,-0.3685670171779298,2.7132107687140965,-0.3685670171779314,2.71321076871409,-0.368567017177931,-0.36856701717793283,-0.3685670171779315,-0.3685670171779322,-0.3685670171779289,-0.3685670171779522,-0.3685670171779234,0.36021692432751073
dementia_mhyn,-0.45135897949055753,1.6846468044735474,0.13698483971046457,-0.4513589794905598,-0.4513589794905616,-0.1345729548345244,-0.4513589794905606,-0.45135897949056236,2.2155314183151447,-0.45135897949056203,-0.3404223844680547,-0.4513589794905588,0.7160208765215754,0.017361347203977945,0.17273492106657592
infect_cmtrt,0.16536130410331087,0.06367665788443422,-0.00763904262969226,1.9508377577675782,0.09442850086881394,-0.009956176506471265,0.020953724462291132,-0.5126002898079701,0.01869178929387672,-0.512600289807972,0.0826401785958062,0.1165461344486798,0.08996611876758863,0.06418885456431044,-0.007521130157122554
