,0,1,2,3,4,5,6,7,8,9,10
sex,0.02249915393555795,-0.030799745388545914,0.00958121196574127,-0.012262657620352151,0.08552894200785542,0.09499679969668347,-0.06986674834714657,0.2039757004134339,-0.13109750741383622,0.08553481084719682,0.03696169377872563
temp_vsorres,-0.04992549421470093,-0.033832801488303886,0.13775232696914186,-0.16145514838063785,-0.17728331340847775,-0.14024439547768022,0.2055796893161254,-0.25650373251562597,-0.113698910549461,-0.08795406267809781,-0.12184651738199051
hr_vsorres,0.04387268846164674,-0.09810498517375925,0.14249112945168052,-0.2064167607962781,0.3833593489219836,-0.07779936541968788,0.1967940758109846,0.08766199915665349,-0.19012079487677574,-0.15166820488225408,0.19141178471379633
rr_vsorres,0.09116614183026328,-0.0354810574083935,0.03999985067464107,-0.1034796986149245,0.491683360504303,-0.07596587197405184,0.19227597816946607,-0.020769110314848495,-0.09574780016793973,-0.12563089386010926,0.1507518343736196
sysbp_vsorres,-0.029229217028051216,-0.0019417041937935763,-0.01779917436367716,0.06627173269139768,-0.33060293578050115,0.0010734675060645972,0.03362676998616177,-0.3101005343179693,0.07151220942720234,-0.0010392198357641878,-0.06028300992311631
admission_diabp_vsorres,-0.07673955719473326,-0.1044088589277517,0.11618971760320594,-0.13789571216331178,-0.1806047687818905,-0.13342510231689136,0.12037889796748513,-0.2096586154353179,-0.02684376291272061,-0.05043615876496665,-0.07557536781786355
chrincard,0.231550541178563,0.38675987390961697,-0.6979109155312698,0.47908898301073694,0.06379008614349604,0.4603592312774963,-0.17297860939496634,-0.04036179495256923,0.10875469667156969,0.9558056625628241,0.2262320950033116
chronicpul_mhyn,2.1481922357701846,0.18642579634611306,-0.46550768750985133,0.150994971097761,0.43976826333096086,0.26930801612581934,-0.058984320292140686,-0.4655076875099242,-0.006896344649034147,-0.4655076875098515,0.08199476584437743
asthma_mhyn,0.1197652906258444,0.10048281987708883,-0.0032271462589685985,-0.05283220943054638,-0.12127049287122728,-0.010421087977490561,0.2610874211090964,-0.08896272667937723,-0.1280630625838727,-0.06477398821727125,0.022399223329328075
renal_mhyn,-0.465169002136442,1.0844337588817747,-0.4651690021364396,2.14975631524708,-0.46516900213644735,1.5184895230173738,-0.4651690021364379,-0.4651690021365124,-0.4651690021364422,-0.4651690021364401,0.893878446457576
