,0,1,2,3,4,5
sex,-0.1331090215425985,-0.03759335240103024,0.022685987575304347,0.10751545529431414,0.04654630416846329,0.02854092431059143
temp_vsorres,-0.15446391224292277,0.10377761826233597,-0.00656556392060705,0.2206537986991855,0.1408263088591166,-0.09099390982335163
hr_vsorres,-0.1939917058224786,0.07083606322682055,-0.02972242366607919,0.16914954098562324,0.20149768493830958,0.0040839481066397235
rr_vsorres,-0.08078886025761953,0.07385844518465529,-0.07890601459559203,0.24267327752249124,0.1852200500964244,0.06808505492097265
sysbp_vsorres,0.04530478656599764,0.031361244748046524,-0.00010179249061807167,-0.11024481609622191,-0.022246404789959547,-0.03623606864173227
admission_diabp_vsorres,-0.06654827681683641,0.03591932774453227,0.013307075748232065,-0.021886107219622284,0.08965190948536504,-0.11966838516461502
chrincard,0.21673036639226037,0.06549073345850673,-0.0667066497852459,-0.2820768930608175,-0.2596793158325201,0.3395873264061673
chronicpul_mhyn,0.029580725587700297,0.08417204648553157,-0.46550768750985416,-0.2526531816521247,-0.24591573332561711,2.1481922357701837
asthma_mhyn,-0.12696581962510659,0.21163039638254413,-0.030409134324445614,-0.03305515659988025,0.003689671686928765,0.10706707211219285
renal_mhyn,0.16175951057358567,0.05380042902049125,-0.05794959418456969,-0.14669680647564612,-0.08446058388115563,0.12204628251434842
modliv,-0.042330448763449526,0.04236535884068781,-0.00025046347722693655,-0.00034537329952483685,-0.01703898071823674,0.042913372416515515
malignantneo_mhyn,-0.004758160805604771,-0.0314080847723514,0.027152518053005923,-0.0862113288747661,-0.1449068371786929,0.13521789209442697
obesity_mhyn,-0.3685670171779318,2.7132107687140996,-0.3685670171779316,0.013546295966421396,0.04225580105161233,-0.36856701717793183
dementia_mhyn,2.2155314183151398,-0.19660916793546307,-0.4513589794905636,-0.26743550377982456,-0.24178759232441402,-0.45135897949056264
infect_cmtrt,0.02740354823371365,0.03946117790742597,-0.054432616354905435,-0.019189734424165328,-0.02592579678694169,0.1906659309625949
daily_lymp_lborres,-0.04565244838065192,-0.01199494660877787,-0.005028432108812678,0.07276097441600866,0.09219335918581621,-0.049684552048020095
daily_neutro_lborres,0.07592832510074296,-0.02459163665615844,-0.02031249133770889,-0.033688540555479624,-0.060937191964844775,0.0952252970551207
daily_plt_lborres,-0.027339353726416056,-0.01991722577043028,-0.0034645846003652637,-0.05044771898275749,0.005600723315058423,0.06503354791177363
daily_bun_lborres,0.4011199858651342,-0.03396078455416558,-0.06891130325007976,-0.17777413164762274,-0.178529744529162,0.07019502936756015
daily_creat_lborres,0.08744398139337929,0.041223453176543454,-0.04956028093653699,-0.03061965207667446,0.04378509260323521,-0.0010917465400760253
daily_crp_lborres,-0.06618193434434473,0.04449114139320331,-0.0167328403922804,0.07089244787415382,0.08106026917446925,-0.007886981290436273
onset2admission,-0.24275632240795209,0.0470510220541831,0.01307956529268565,0.15684873645714698,0.15235134706243117,-0.017413737847568403
age,0.7529240478329216,-0.26999414848598136,-0.04086345699609422,-0.5650061356922192,-0.6019398190936606,0.3488180891179331
immunosuppressed_yn,0.01147767959072864,0.015003651016527545,-0.0290812010784262,-0.1498983729376446,-0.1181419709936264,0.27544486751650177
sfr,0.06349466124800808,-0.1703265696865919,0.05871674582267786,-0.1643580793266859,-0.06838555904116905,-0.05685641368560069
diabetes,-0.049286758818914006,0.32953215156224663,-0.08878818789854187,0.06098753400250779,0.12198721661778712,-0.031222356732158976
Aboriginal/First Nations,-0.014595452799588021,-0.014595452799588021,-0.014595452799588017,0.8401326814706369,-0.014595452799588017,-0.014595452799588016
Arab,-0.06636439630692462,-0.06636439630692459,-0.06636439630692449,3.8200183981335822,-0.06636439630692463,-0.06636439630692469
Black,-0.20162182540017612,-0.20162182540017637,-0.20162182540017667,-0.20162182540017626,1.0655634093727895,-0.20162182540017629
East Asian,-0.08782862452602062,-0.08782862452602064,-0.08782862452602046,5.055526460611491,-0.08782862452602054,-0.08782862452602075
Latin American,-0.037652491080415414,-0.0376524910804154,-0.03765249108041535,2.167324901104232,-0.03765249108041541,-0.03765249108041541
Other,-0.2650680392793101,-0.26506803927931016,-0.2650680392793102,-0.26506803927931044,1.4008741518415762,-0.26506803927931005
South Asian,-0.23984882467093022,-0.2398488246709302,-0.23984882467093,-0.23984882467093013,1.2675915955187544,-0.23984882467093016
West Asian,-0.05847531221042796,-0.05847531221042798,-0.05847531221042784,3.3659127621286413,-0.058475312210427975,-0.05847531221042799
White,0.46245693338090416,0.4624569333809043,0.46245693338090466,-2.1623635149964247,-2.1623635149964264,0.4624569333809044
