,0,1,2,3,4,5,6,7,8,9,10,11,12,13
admission_diabp_vsorres,-0.04287501610627631,0.10571238281179195,-0.09047866768839143,-0.15588820847307736,-0.012904934895931069,-0.08723486481646844,0.07816026299006515,-0.1673938094435732,0.02576749150486892,0.16138478357755714,0.05802650489711376,-0.057676416885382685,0.09165555402576064,-0.11341050619150556
age,0.7476568050181419,-0.4446334960383787,0.2864691752386051,0.2537267233484923,-0.6308945633248508,0.412786864634494,-0.6928703578756945,-0.2690258245781781,-0.11111638421826801,-0.6044353113419997,-0.5271949712768843,-0.45307458388172683,-0.6431714469333865,0.3913247453382324
asthma_mhyn,-0.12580321627757693,0.051049896610600956,0.16445906312553354,-0.037509393316111445,-0.042151841178354015,-0.04614256397588936,0.07969175007693573,-0.07644011320099844,-0.008417417896162068,-0.05940386631991961,-0.017518928893953713,0.02388608084727904,-0.06074256813065147,-0.08993055002353202
chrincard,0.2040052806501167,-0.6953518798853794,0.3323439165805299,0.2701073427702617,-0.2587085081014419,0.9954735584191851,-0.22304889833542366,0.15803719104395608,-0.12642583259905552,-0.3600820528905169,-0.22544365836170027,-0.24772954704083153,-0.33858387364384074,0.16105040363170803
chronicpul_mhyn,0.0122682837357902,-0.46510922675241445,2.1500325998300363,0.2661518453375483,-0.24153492551629377,-0.46510922675254496,-0.29823655087996576,0.0840705568297436,-0.11642364987493999,-0.2971798225932679,-0.202250882104712,-0.1872058718841758,-0.298929645799224,0.18451199131567497
daily_bun_lborres,0.23903707316278805,-0.3720024018021766,-0.057184339765640135,1.6588715597111912,-0.1365376113635762,0.2668657803459723,-0.19485502857076464,0.7462264218037277,0.1376188095196622,-0.15251566976885053,-0.18293503302120628,-0.17493043276495276,-0.26710622422084573,0.13176983464213152
daily_creat_lborres,-0.06483067497762254,-0.31062046805798577,-0.13864390283395744,2.0756386289128113,-0.017338487293391755,0.1598334712051678,0.03160932722681886,1.345160252588801,0.4413819904349028,0.1315935767409309,-0.028976639077295235,-0.035463226525559964,-0.08026221609912433,0.06375233587587352
daily_crp_lborres,-0.12424338766750868,0.0013097437241857315,-0.057310548203377124,0.37437701973634513,0.025494733390215806,-0.04500596113086542,0.04217157753093754,0.10212844528826993,0.25265291583227695,0.1631498187540777,0.05438445613866836,0.13303926878511443,0.06662773511967322,0.017485466289661283
daily_lymp_lborres,-0.13550967519207632,-0.03706754924879731,-0.12211757968308307,1.4904082887656736,0.09942256349097946,-0.15941284255391056,0.06799254502219873,6.964436147069772,-0.13049564297708174,0.06123082376067622,0.014658228873194977,0.09264551497856227,-0.008935912704103953,-0.12835263667516883
daily_neutro_lborres,0.005751039765287049,-0.0733247342931856,0.028011594405756776,0.7738886974168312,-0.07252034951726695,-0.03744365015223192,-0.061142388897532686,0.3344426074406676,-0.28733479012719576,-0.1008205877251908,-0.039612899288069194,-0.01762318560385625,-0.0354810547722939,0.06530141538066359
