,0,1,2
admission_diabp_vsorres,-0.01771157797749371,0.021264995470873457,0.08864227155777187
age,0.129932153959787,-0.5827869288121701,-0.6047051451216512
asthma_mhyn,-0.0001503932006386914,-0.03217769841468777,0.004208075670870985
chrincard,0.055771128927870714,-0.2892736250506188,-0.25538151381431096
chronicpul_mhyn,0.05512321775506807,-0.25069057040032083,-0.2561759132155133
daily_bun_lborres,0.037828083932444564,-0.20100163012617017,-0.1727065034659068
daily_creat_lborres,-0.007647489589120719,-0.044717229576048866,0.0440295145021814
daily_crp_lborres,-0.016524495943846255,0.07488986681684415,0.07682265244661393
daily_lymp_lborres,-0.019602658962777905,0.047640485404787734,0.09553262094212644
daily_neutro_lborres,0.012161227338593747,-0.043915268401185835,-0.0577337470015208
daily_plt_lborres,0.0014694614674333275,-0.05071453123773548,-0.002127130999249197
dementia_mhyn,0.05437589213639106,-0.2843379589420997,-0.2487468575401328
diabetes,-0.02486029798057805,0.0766445784576073,0.11942272760539403
hr_vsorres,-0.042443037313468095,0.19621659221384838,0.19690591057501564
immunosuppressed_yn,0.026048218277886476,-0.1387365580697096,-0.1188897687632618
infect_cmtrt,0.005893497858382954,-0.011440036326008114,-0.029029539810663647
malignantneo_mhyn,0.028375276842501615,-0.10597089844247554,-0.13433339630120172
modliv,0.0030956858129765636,0.002327209362945054,-0.01613858615977472
obesity_mhyn,-0.010508418034841024,0.0025009336341574426,0.0536723703284559
onset2admission,-0.03261525671786581,0.15977878626471284,0.15035119991505258
renal_mhyn,0.021173229960320915,-0.15245390239385237,-0.09240176842986782
rr_vsorres,-0.0395924151547536,0.2636707757084978,0.17507061381009714
sex,-0.010796154166352167,0.11021644291029811,0.043646858794707054
sf94,0.015467692548470567,-0.12343546117979746,-0.06621414324995868
sysbp_vsorres,0.00633332126455003,-0.08193802526694866,-0.02375897944315982
temp_vsorres,-0.03123143205087574,0.2228745369437567,0.13651035353558647
