,0,1,2,3,4,5,6,7,8,9,10
sex,0.02712352380761042,0.1081663882169556,0.04594626777097071,0.11066445697244508,0.40957816142546943,0.04880361561185234,0.008619280208649143,0.07105762354739988,-0.2280684774107946,0.02771204756542047,-0.08056012575082183
temp_vsorres,-0.07720886279407672,-0.12124144041686404,0.05211808068466145,0.2227246341706888,0.11716936956910191,0.13174689723251368,0.17108594932712942,0.1300539822686365,0.04290469117629508,0.21362632222881373,-0.15749150454417454
hr_vsorres,-0.017646324676880546,-0.08374250906361055,0.01286320985923542,0.17229694969868845,-0.26887551058326825,0.1787532052703573,0.21003035071917117,0.22281878617169146,0.05467185069627732,0.2007041510162582,-0.19720259349691296
rr_vsorres,0.07480574180630575,-0.13901501560364485,-0.03370128272013558,0.2457790325172046,-0.17028209738093356,0.14221938207449042,0.17923099609251772,0.24141474627770396,0.01579287929979995,0.27091084800812404,-0.11074444514521506
sysbp_vsorres,-0.02292344163835352,-0.053513733461411736,0.01047355439814305,-0.10137848577061037,-0.06508629680719864,-0.06355229879329145,0.060003170372813185,-0.03146134969554811,0.032377001679117806,-0.21378357821473887,0.034406046992330484
admission_diabp_vsorres,-0.10965176821438215,-0.11931223602839061,0.06851992226500518,-0.006350495342985335,-0.17053968221847432,0.05504653362366056,0.16095659014226246,0.08021021792090749,0.032029610767625956,-0.16903919278522275,-0.09332180297698696
chrincard,0.3746621610352766,0.16892700770847816,-0.16684577757111085,-0.29526149080722214,0.054121511660983675,-0.22702954270344952,-0.36032441117161,-0.22680815137582896,-0.0036305100638350947,-0.1887916174763383,0.24670058655404087
chronicpul_mhyn,2.148192235770182,0.16991022016886762,-0.4655076875098297,-0.2768464602820161,-0.15801357888867265,-0.1996485159243078,-0.2877962110071696,-0.27167733852409304,0.19702147906100886,-0.0029059311771036807,-0.4655076875098695
asthma_mhyn,-0.39684364971784436,-0.09283546488876519,-0.3968436497178245,-0.03254837619822743,-0.05369920949653982,-0.024459897939514544,-0.060082268358899106,0.08345582873562829,2.5198840921632444,-0.03547915072372723,-0.39684364971785835
renal_mhyn,0.1428538199735368,0.162698468340366,-0.4651690021364185,-0.16401783014255691,0.4577458157636254,-0.1153478862040277,-0.04584165810444646,-0.07491759594931073,-0.040107810237140135,-0.04863222591605753,0.8136319614699077
modliv,0.017696643288981996,0.06986539091947527,-0.1423366910520677,-0.002814898786254803,-0.14233669105207494,0.0026634616638773717,-0.031990077925868256,-0.030079809135759278,0.004841576980960225,0.04796239065562002,0.2334397399440053
malignantneo_mhyn,-0.33784161787323236,2.9599668812124458,-0.33784161787321576,-0.0971256690348624,0.24412458784776903,-0.13330196859788074,-0.09563566973640789,-0.19429352797751806,-0.3378416178732327,-0.01681601176754758,-0.3378416178732448
obesity_mhyn,-0.010447119819317329,-0.06837747568722093,-0.0018222258592175131,0.013843365013050285,-0.3685670171779317,0.01489082946359585,0.08707748548282068,0.043093764908060536,0.19302314155648773,0.06779089940855053,-0.10459642478232277
dementia_mhyn,0.059538451324099656,0.008524985424363236,-0.4513589794905393,-0.27832472821363136,-0.4513589794905625,-0.19433996214478402,-0.2537798640662145,-0.2904365280338392,-0.1006410537952638,-0.12094777976242252,1.1075505512277366
infect_cmtrt,0.16107569989603976,0.0630981243116648,-0.09243350812095225,-0.0031301339833423453,-0.07787592847110801,-0.02273341088168659,-0.06068028877743271,-0.004821143658702539,0.107925964903985,-0.18559523924484395,0.0007756727886455213
daily_lymp_lborres,-0.04964710485164041,-0.04736250512373722,0.01774009899647956,0.06686280797600176,-0.12897104280169064,0.07720190630060655,0.10172849378204925,0.1034380997310591,-0.006228971649906413,0.16746790816140075,-0.06268752185242267
daily_neutro_lborres,0.08262569720099636,0.05638433494445606,-0.04981602945228411,-0.024255436279232594,-0.3359602565414047,-0.03937390176350294,-0.08754482289112485,-0.06785314024372317,0.012075103356611279,-0.09114339366036324,0.0622435028314281
daily_plt_lborres,0.02393504997286175,0.0002747825607366556,0.011429538974855541,-0.05308328766950534,-0.05676549882527332,0.011069895184484766,-0.033326781597904614,0.02695436212731652,0.04826522968419051,-0.020739237141316074,-0.06505569649698108
