,0,1,2,3,4,5,6
admission_diabp_vsorres,-0.03751156883356814,0.03596838503773693,0.1119330213077183,-0.09854324500870737,0.05563383937247246,0.021264995470873457,-0.1977675119766921
age,0.7530296482001201,-0.10911167991984827,-0.6566661576796466,0.3001990061656835,-0.5310642543081657,-0.5827869288121701,0.34216018622031186
asthma_mhyn,-0.12345747302026966,0.007819702210874717,0.02034646468988193,0.1562286539983828,-0.018663790852673317,-0.03217769841468777,-0.10376223064286448
chrincard,0.20754341690923675,-0.0913061806807976,-0.2777601611771179,0.3357525679913201,-0.22366574374231585,-0.2892736250506188,0.2864262771445712
chronicpul_mhyn,0.024591901780965437,-0.4651092267523476,-0.29495066523636554,2.150032599830225,-0.20122303336732927,-0.25069057040032083,-0.009663178302833295
daily_bun_lborres,0.09365203153089544,-0.2308338126289176,-0.1722905414839838,-0.050294633363966175,-0.17329601874640896,-0.20100163012617017,1.8335776347540582
daily_creat_lborres,-0.14459297282542696,-0.2188285185440852,0.08316317925468796,-0.1275034271266406,-0.011432028514407815,-0.044717229576048866,1.7944254177376235
daily_crp_lborres,-0.19459709133917985,-0.03341780630642927,0.09243558284976307,-0.04763366950516831,0.05469548350791013,0.07488986681684415,0.446493100591328
daily_lymp_lborres,-0.14826897682416168,-0.0953177101847358,0.11669872549340649,-0.1208441495566472,0.06553530723566905,0.047640485404787734,0.8583681466608047
daily_neutro_lborres,-0.06588339220418564,-0.08382515556532213,-0.07148736794520268,0.03723611910120182,-0.03824165382736901,-0.043915268401185835,0.7253796522368221
daily_plt_lborres,-0.07037248515785136,-0.019642976888698486,-0.0012631151546632538,0.05318253399048781,-0.003351643250646461,-0.05071453123773548,0.173913407180063
dementia_mhyn,2.204442199037142,-0.4536294943169684,-0.28209526770568627,-0.453629494316776,-0.20148437147782905,-0.2843379589420997,0.5569823639793477
diabetes,-0.07495423434098791,-0.06701564130226806,0.18072235509397236,0.022257648066565588,0.03254683830753465,0.0766445784576073,0.25496692361263856
hr_vsorres,-0.25073192003856887,-0.014264685071611816,0.215934191699008,0.008837259019174572,0.16993839197525581,0.19621659221384838,0.041918712723646584
immunosuppressed_yn,0.009118930534143239,-0.03801579157014107,-0.11487864368531972,0.26157290832069896,-0.1245744698374534,-0.1387365580697096,0.0778004551759711
infect_cmtrt,0.0074008953174405714,-0.053236029711381166,-0.02436457253831412,0.19064489664754253,-0.03564088798576019,-0.011440036326008114,0.07904784934169545
malignantneo_mhyn,-0.013023379571613819,0.0024595031224376772,-0.14558902290313938,0.13332610713600404,-0.11838154454105056,-0.10597089844247554,0.09168802793911524
modliv,-0.017150444395961244,0.01645693153338276,-0.028718139020244875,0.05957521421776531,0.0016895783250277796,0.002327209362945054,-0.14347775464091023
obesity_mhyn,-0.36064076606118645,0.024071752757988306,0.07182457307079032,0.04853471631010559,0.02794645941243912,0.0025009336341574426,0.2595572879783091
onset2admission,-0.2576842682371135,0.017920252157686434,0.17527623466120712,0.004898177711741762,0.11502660418639038,0.15977878626471284,-0.041966927978755876
renal_mhyn,0.07125466854484783,-0.13121188853839866,-0.07219179585593523,0.06699250170227349,-0.12104401981015006,-0.15245390239385237,0.8488274200570307
rr_vsorres,-0.1611898240546592,-0.06829763942959761,0.19710535208543378,0.06050221302041972,0.1438422432384674,0.2636707757084978,0.18571940085128444
sex,-0.15569193511623344,0.0019301633620371766,0.04210918025548706,0.01525544363432777,0.045826108425103235,0.11021644291029811,0.10854777362411261
sf94,0.15241749835912988,0.04196792931033597,-0.06761582073778262,-0.08482347395455045,-0.06422763887380269,-0.12343546117979746,-0.22120470157094416
sysbp_vsorres,0.09911712725288783,0.014482482920026761,0.00028634314723977906,-0.020535210442997262,-0.05783681758148191,-0.08193802526694866,-0.1588692074705689
temp_vsorres,-0.14032544132032307,0.034532534827711805,0.14430375436538578,-0.061404826068940856,0.12546528433236123,0.2228745369437567,-0.22294784447888966
