,0,1,2,3,4,5,6,7,8,9,10,11
sex,0.026736884552876598,0.1076109836957953,0.04593292115726867,0.14828066329139136,0.40957816142546943,0.04880361561185234,0.008619280208649143,0.06787068400045093,-0.2296870654895301,0.02771204756542047,-0.0798979579645112,0.07237103580978609
temp_vsorres,-0.0772177795172325,-0.12045838103176443,0.052189994157465815,0.20285621914244875,0.11716936956910191,0.13174689723251368,0.17108594932712942,0.1146059214213974,0.0430808245929508,0.21362632222881373,-0.15727611160728727,0.24295074570516537
hr_vsorres,-0.01772359668554878,-0.08333788614134977,0.013131198094558105,0.12909349160882555,-0.26887551058326825,0.1787532052703573,0.21003035071917117,0.203552647595489,0.05451622872412966,0.2007041510162582,-0.1978991631929432,0.21627821145301698
rr_vsorres,0.07497268234889168,-0.1423008487971446,-0.033659421100595194,0.1902535747368029,-0.17028209738093356,0.14221938207449042,0.17923099609251772,0.22800115656478356,0.015189501068585928,0.27091084800812404,-0.11128278741906583,0.3023041302903793
sysbp_vsorres,-0.022590979215324783,-0.05350619488495376,0.010995792957671295,-0.09205912137869203,-0.06508629680719864,-0.06355229879329145,0.060003170372813185,-0.03414622434624101,0.032882844184320546,-0.21378357821473887,0.03455852994230972,-0.11086562922686764
admission_diabp_vsorres,-0.10991691970673766,-0.11897928135414726,0.0692823676225406,-0.04350344351775382,-0.17053968221847432,0.05504653362366056,0.16095659014226246,0.06887782004601603,0.03224295346002287,-0.16903919278522275,-0.0939058333325018,0.03147132751250732
chrincard,0.3771673024742144,0.16829517894421722,-0.1671463375806447,-0.2388729012911976,0.054121511660983675,-0.22702954270344952,-0.36032441117161,-0.20708111091694315,-0.003751561999693825,-0.1887916174763383,0.2471327246592644,-0.352665259512569
chronicpul_mhyn,2.1481922357701815,0.17135984629813736,-0.46550768750982974,-0.23859483243409488,-0.15801357888867265,-0.1996485159243078,-0.2877962110071696,-0.24701358511779484,0.19811292348540663,-0.0029059311771036807,-0.46550768750987176,-0.3157867426411115
asthma_mhyn,-0.3968436497178444,-0.09352815259290494,-0.39684364971782415,-0.03576963665539447,-0.05369920949653982,-0.024459897939514544,-0.060082268358899106,0.08154822978934352,2.519884092163245,-0.03547915072372723,-0.39684364971786057,-0.029269122508607314
renal_mhyn,0.14383503592944524,0.1613972041323039,-0.4651690021364186,-0.1456604424561404,0.4577458157636254,-0.1153478862040277,-0.04584165810444646,-0.06565652089202371,-0.039793545544258166,-0.04863222591605753,0.8146210477125398,-0.18270571089697815
modliv,0.016987908099949798,0.07179557922361483,-0.14233669105206767,0.042047413839410915,-0.14233669105207494,0.0026634616638773717,-0.031990077925868256,-0.03342022216231262,0.005615163243845218,0.04796239065562002,0.23498492275855204,-0.048484879887996365
