,0,1,2,3,4,5
admission_diabp_vsorres,-0.11271157201291997,-0.08399165934405117,0.005137286528722746,0.09845407847917488,0.036308781419279776,-0.18104452661804496
age,0.3753537673898675,0.523135991818623,-0.20535457832637075,-0.3391050923929273,-0.14371452778726954,-3.7335289048346074
asthma_mhyn,-0.3971185339237985,-0.39711853392392027,-0.3971185339239344,-0.3971185339239049,2.518139836283744,-0.39711853392379737
chrincard,0.35742266739736367,1.438120797437492,-0.6953518798853442,-0.6953518798853766,-0.019186438327671904,0.8766806191947216
chronicpul_mhyn,2.1500325998303627,-0.4651092267524814,-0.46510922675246896,-0.46510922675242067,0.16841266888046783,0.6818828024503419
daily_bun_lborres,0.14835447296910612,0.2967889132769887,-0.204048742966887,-0.07364185541738728,-0.12624357757665594,-0.5675040272189581
daily_creat_lborres,0.046075601551129594,0.20329609948564764,-0.18094751402502612,0.009892211785979647,-0.08836892592516006,-0.005720263604494013
daily_crp_lborres,-0.023905335268665534,-0.04400263407625985,-0.08887880547040233,0.11919168691573329,-0.009131764334375955,-0.2398843192884363
daily_lymp_lborres,-0.04067297388135562,-0.06068778547456575,0.06659964832611832,0.007220073936729079,0.005830357603754852,1.386636044945333
daily_neutro_lborres,0.07838714506560918,-0.0053271083833206926,-0.05316271074055411,0.0036051927636184806,0.004292483046874658,0.03550072717672566
daily_plt_lborres,0.03049941085800905,-0.07935533763698295,0.078495172377461,-0.041496954855740134,0.04822488536984158,0.128429517016376
dementia_mhyn,0.03573032857344158,0.19580907493389704,0.026653058306504107,-0.11938305821108453,-0.1326464966736416,-0.4536294943167977
diabetes,0.03616236917440699,0.17053193495092628,-0.14665683674067473,-0.04646541070337995,0.03624935004095511,-0.3120979026313773
hr_vsorres,-0.012774604177316616,-0.23683646323765448,0.05188386055849771,0.09837822481322385,0.07803923533058917,2.218226262847565
immunosuppressed_yn,0.20243854820879792,0.023667063964907278,-0.035965766776843,-0.15816688426946518,0.1395421157201981,-0.27299586173200086
infect_cmtrt,0.15445962711496497,-0.01655429627868485,-0.06073608300023213,-0.07482614708029098,0.11636922856412092,0.2218945838870859
malignantneo_mhyn,0.11679689338547668,0.059188707713373714,-0.05638753059124601,-0.022097083693520283,-0.07628327952061613,-0.1641754838379391
modliv,0.038406079806737214,-0.0006560029133426312,-0.0342716241108665,0.007321069690085501,-0.00020628861888439702,0.23090115669228034
obesity_mhyn,-0.01242797146857139,-0.03604686804834008,-0.015744156777574174,-0.04825702879325417,0.19672105120546293,-0.20384392520119077
onset2admission,-0.03141513675115668,-0.11086237041395355,-0.017655431325151873,0.07737094689235072,0.07499922333436003,-0.5601745226106931
renal_mhyn,0.14791198463776045,0.3184107897613865,-0.14286897554397768,-0.18364381746747876,-0.031268134846055194,-0.18925288353484918
rr_vsorres,0.06939177968779596,-0.10471798153816764,-0.0913734837095231,0.08866575362517723,0.042745577298594115,1.8662384190992352
sex,0.04804831962822622,0.09272528479408344,-1.1303736043214216,0.8846632619314934,-0.19633646591309803,0.10692973460568274
sf94,-0.08273945497963667,0.05615086927792631,0.0981167013892303,-0.06963319649383538,-0.014600429706056088,0.11475442543915526
sysbp_vsorres,-0.031770357301787566,0.02784634396090686,0.0014257522982039066,-0.014912666627550511,0.024223990416060458,-0.910816294098785
temp_vsorres,-0.07947871069852691,-0.17100073789735754,0.015734430386613926,0.12553472879930094,0.060999433975080106,-0.0284521690138707
