,0,1,2,3
admission_diabp_vsorres,-0.10291662934022962,-0.08227174641023181,0.015816019291891605,0.10583520807984868
age,0.3489603645498168,0.5006553873002172,-0.25112902327341463,-0.36046623121872107
asthma_mhyn,0.14379373341390125,-0.06547361923204616,0.06769670988187496,-0.08756501511535655
chrincard,0.3542517534215172,1.4381207974373853,-0.695351879885368,-0.6953518798852549
chronicpul_mhyn,2.1500325998305416,-0.4651092267524544,-0.4651092267524336,-0.46510922675240224
daily_bun_lborres,0.12155965107265633,0.2823256454345184,-0.2287177022956034,-0.08884998910359769
daily_creat_lborres,0.03265094452744138,0.19280185006882453,-0.19389254298039016,-0.0012158694193943396
daily_crp_lborres,-0.021487348764698617,-0.045986324414115945,-0.08946824108350736,0.12080437092071578
daily_lymp_lborres,-0.03817950014798622,-0.05168612905584278,0.06808094002149859,0.0033566308923111314
daily_neutro_lborres,0.07918880261554566,-0.0034478694324245654,-0.05434445648261623,0.0035817564228441297
daily_plt_lborres,0.037322505282089025,-0.07328687888907226,0.08891290931630559,-0.039944187185322104
dementia_mhyn,0.02233685145009271,0.17446931315596964,-0.012230020965158106,-0.13282593656245345
diabetes,0.05462126062272329,0.17534785836252012,-0.1337592802047303,-0.050429332687291974
hr_vsorres,-0.0030262688585815643,-0.21664839901475272,0.07037126613051413,0.10525189524610754
immunosuppressed_yn,0.2272216769659466,0.03673696075094365,-0.006198393698902743,-0.1491391676518215
infect_cmtrt,0.1700341549449471,-0.004978200891220083,-0.03604630838608067,-0.061190591206870724
malignantneo_mhyn,0.10577066928196835,0.04819839393581813,-0.0739673663864334,-0.03357331525791436
modliv,0.04542589018013727,4.957114791312703e-05,-0.0345353496223764,0.003333175914924462
obesity_mhyn,0.019727046821528847,-0.016016169634754766,0.035647573587200575,-0.02867342263616762
onset2admission,-0.02871454373672011,-0.10305894997725365,0.010190638454021206,0.08465477782004269
renal_mhyn,0.1483699740557019,0.31462861847791296,-0.15521863401040303,-0.18910670234124782
rr_vsorres,0.06820785452414217,-0.09191281484947728,-0.0735645340405354,0.09188079546343525
sex,0.01156578628178006,0.06545564098667152,-1.1303736043216435,0.8846632619315008
sf94,-0.07521106470233446,0.05379438957789828,0.08856916702273783,-0.07193244022127517
sysbp_vsorres,-0.021447396650067584,0.02662471651115419,0.004648785750646995,-0.0118163619779966
temp_vsorres,-0.06992110715178501,-0.15963656061310502,0.030614880016005073,0.13299467843755453
