,0,1,2,3,4,5,6,7,8,9
admission_diabp_vsorres,-0.11323777609682663,-0.1068853545505767,0.005180689369354781,-0.051312980521961316,0.0991266663412189,0.009268692109393614,0.09601860481311356,-0.06945969304230852,0.1278935453951078,-0.05761173230159344
age,0.3664617277199012,0.5465184857078702,-0.1822867785404149,0.4704182529191136,-0.31126540194645563,-3.7504703387128577,-0.5086583263114511,0.3884002856960319,-0.5172691601771151,0.27213775218363245
asthma_mhyn,-0.3971185339237993,-0.39711853392375346,-0.3971185339239328,-0.39711853392376295,-0.39711853392391,-0.3971185339237988,2.518139836283532,2.518139836283488,2.5181398362836136,2.518139836283545
chrincard,0.3569915450215774,1.438120797437865,-0.6953518798853433,1.438120797437646,-0.6953518798853757,-0.695351879885075,-0.6953518798850518,1.4381207974374846,-0.6953518798850478,0.34222537890392873
chronicpul_mhyn,2.1500325998303644,-0.46510922675264565,-0.4651092267524704,-0.46510922675269306,-0.46510922675242206,-0.46510922675264765,-0.4651092267526773,-0.4651092267526734,-0.4651092267526846,2.1500325998301633
daily_bun_lborres,0.14668474394758912,0.19997893071799536,-0.20009203084875865,0.4304406630643117,-0.06819618274528896,-0.7683269228432327,-0.2173980105260192,0.18177643260435128,-0.35067770683938326,0.011272512188839711
daily_creat_lborres,0.04574421039716085,0.15853159127161112,-0.1807600956840775,0.2662415783340648,0.010879720673967926,-0.14906427229335573,-0.15614137328794878,0.11296622192168312,-0.20986235691377372,-0.024822229347151635
daily_crp_lborres,-0.023914741115568593,-0.2657986197005514,-0.08738684299629185,0.26916797840788076,0.12153914045496984,-0.22604704175107074,0.3903964354333605,-0.056100866267644274,-0.2601690483555357,-0.010832257511563538
daily_lymp_lborres,-0.03757979959182854,-0.04403615155474406,0.051687515035579924,-0.07769167454758959,-0.010717094091991728,2.264077342439933,-0.027844138181397415,-0.002915630095293949,0.0692485598606084,-0.04081189871681458
daily_neutro_lborres,0.07824646358005259,-0.10998607055155261,-0.053264243581179545,0.14349821370552493,0.0044692390784328686,-0.0773998262977334,0.15188835036129678,0.010332432885871238,-0.16146909823457536,0.08332522020414507
daily_plt_lborres,0.0308520429360555,-0.07947690404663796,0.07205770307826422,-0.07846261987195156,-0.049967879255087826,1.0239416799095225,0.09382724739479761,-0.0283305789695482,0.049717131572396725,0.06572473977139791
dementia_mhyn,0.0346722075241196,0.20477714746301123,0.029628912829529015,0.18009811353785718,-0.11689169598792298,-0.4269598786644151,-0.28186738250052185,0.017825254065676706,-0.193560242570045,-0.03180946097507395
diabetes,0.035281109973389506,0.1676970447816072,-0.14410433857417682,0.17255312208475704,-0.04259432424674194,-0.5277956477329072,-0.04700780769456991,0.21931409715027173,-0.09260176219021175,0.13951527042055567
hr_vsorres,-0.008070495724581454,-0.43609749133549447,0.031245396462294742,0.0574736787804143,0.07453706957132694,3.0981729616480145,0.3323222778533973,-0.09630485896687875,0.048651111853975776,0.019115474127254336
immunosuppressed_yn,0.20159903389521142,0.03300512411214303,-0.03268186314095974,0.008737683024702951,-0.15581689071309854,-0.48245000034539637,0.07865397598883399,0.14394688618758641,0.031864312170730665,0.3396928232013763
infect_cmtrt,0.15493433479834848,-0.055442492048679584,-0.05904876551905287,0.03919471605719732,-0.07376546856241784,-0.24910675746810665,0.1809228994079215,0.08343508176727586,0.0024160013107493374,0.2363151422399847
malignantneo_mhyn,0.11666982170237657,0.0648954714283127,-0.054555907843916486,0.04926600111184834,-0.019667767260809342,-0.32674131332821316,-0.18120974080745594,-0.03155212403738445,-0.12879418897851688,0.05792860387396808
modliv,0.03924324489664107,0.008203403068522436,-0.03356076742829698,-0.012866721451643836,0.008551425475687153,-0.14347775464089874,-0.03282168232423028,0.00437165376088784,-0.03379848288783647,0.07256474544505889
obesity_mhyn,-0.012926363422931492,-0.08496380844260681,-0.013634935274396855,0.032758271573713964,-0.04593342676348087,-0.3356366575227166,0.41573380461135306,0.14205785176912583,0.10082655507211817,0.1630598977123748
onset2admission,-0.033071843246841925,-0.22039998682973538,-0.01732134224940538,0.04340998382798984,0.07861216937881742,-0.07253686150571613,0.30087839014741596,-0.038368593349504425,0.047515404284589745,-0.009588083244686784
renal_mhyn,0.14704001189736163,0.3273148742992917,-0.14077413756607576,0.3036785380144104,-0.18158283334362532,-0.4471879970512586,-0.24863627393862375,0.2919046044169864,-0.21160759577157237,0.15420787173017
rr_vsorres,0.072845463351242,-0.5032079667629055,-0.10968133286470617,0.47068277647184814,0.06779791973112925,2.675126117202764,0.5876269450233333,-0.02359334090835675,-0.3037196416307616,0.04785097021930675
sex,0.048637328060487865,0.07559388652735172,-1.1303736043214125,0.11634193206474959,0.8846632619314927,0.10964908260332469,-0.1763054909420917,-0.14472739584030245,-0.2750986350176298,-0.15116054858737582
sf94,-0.08213680739837435,0.6733550741063257,0.09386764925078818,-0.8199631398030984,-0.07629004348202915,0.7480405682692363,-1.0005768941145536,0.03550836828748972,0.6702693275534508,-0.044810367264363334
sysbp_vsorres,-0.0337050312812464,0.05256676660818122,0.006055350336341144,-0.011495677898527455,-0.008503569481973665,-0.7655820619130403,-0.011201975519832921,0.030800551947553375,0.039124551899686645,0.03235775581982196
temp_vsorres,-0.07931022424816378,-0.301256288022049,0.013879632307841006,0.014448673362304284,0.1243610665095976,0.28142140203547056,0.3076833822339634,-0.07290259448427948,0.03513707535139749,-0.028707374475880523
